transaction_date,transaction_barcode,item_number,description,description2,combined_description,item_unit_price
2022-07-20,21133420300162207201048,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.29
2022-07-20,21133420300162207201048,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,4.29
2025-01-27,21133401205552501271756,7367,LOLLIPEPPERS,680 G / 1.5 LB,LOLLIPEPPERS 680 G / 1.5 LB,5.99
2025-01-27,21133401205552501271756,7552,WILD ALBACOR,SL360           P528,WILD ALBACOR SL360           P528,15.99
2025-01-27,21133401205552501271756,346654,/7552,,,0
2025-01-27,21133401205552501271756,21046,TOMATO MEDLE,,,6.59
2025-01-27,21133401205552501271756,1011378,CHICK PEAS,P240 .,CHICK PEAS P240 .,7.99
2025-01-27,21133401205552501271756,1819212,CHED/SNACK,12/15 OZ T6H4 SL 60,CHED/SNACK 12/15 OZ T6H4 SL 60,9.99
2025-01-27,21133401205552501271756,1830455,KS BAGUETTE,,,4.99
2025-01-27,21133401205552501271756,847909,GHIR.BROWNIE,TRIPLE CHOCOLATE MIX P192,GHIR.BROWNIE TRIPLE CHOCOLATE MIX P192,14.99
2025-01-27,21133401205552501271756,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,7.99
2025-01-27,21133401205552501271756,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.99
2025-01-27,21133401205552501271756,1298989,CANDY SNAP,3LB SEEDLESS,CANDY SNAP 3LB SEEDLESS,6.99
2025-01-27,21133401205552501271756,96716,ORG SPINACH,453 G / 16 OZ,ORG SPINACH 453 G / 16 OZ,4.49
2025-01-27,21133401205552501271756,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,2.99
2025-01-27,21133401205552501271756,186626,PARMIGIANO,15/1LB T6X11 P990  SL120,PARMIGIANO 15/1LB T6X11 P990  SL120,14.69
2025-01-27,21133401205552501271756,80487,BRUSSEL SPRT,907 G / 2 LB,BRUSSEL SPRT 907 G / 2 LB,4.99
2025-01-27,21133401205552501271756,3741,4LB ENVY,,,6.99
2025-01-27,21133401205552501271756,1827786,CHPTLE RANCH,CHOP SALAD KIT,CHPTLE RANCH CHOP SALAD KIT,7.99
2022-10-02,21133400702482210021627,1290439,KS NUTBUTTER,765G T10H6 P720,KS NUTBUTTER 765G T10H6 P720,6.99
2022-10-02,21133400702482210021627,45694,BAGUETTE,2 PACK,BAGUETTE 2 PACK,5.99
2022-10-02,21133400702482210021627,1068083,ORG FR EGGS,GRADE A T20H18 P360 SL23,ORG FR EGGS GRADE A T20H18 P360 SL23,7.49
2022-10-02,21133400702482210021627,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.29
2022-10-02,21133400702482210021627,970125,DELUXE BUNCH,ORIENTAL LILY DUET,DELUXE BUNCH ORIENTAL LILY DUET,9.99
2022-10-02,21133400702482210021627,5858,ORGEVRYTHING,EVERYTHING CHOP SALAD,ORGEVRYTHING EVERYTHING CHOP SALAD,8.99
2022-10-02,21133400702482210021627,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,4.29
2022-10-02,21133400702482210021627,1122506,HOT SAUCE,SAUCE  P=240  SL180,HOT SAUCE SAUCE  P=240  SL180,8.29
2022-10-02,21133400702482210021627,47717,SALMON TRIO,14/15OZ RW SL 28 T8XH4,SALMON TRIO 14/15OZ RW SL 28 T8XH4,16.79
2022-10-02,21133400702482210021627,1429701,AVO OIL MAYO,PRIMAL NUTRITION P480,AVO OIL MAYO PRIMAL NUTRITION P480,9.99
2022-10-02,21133400702482210021627,331222,SOUR CREAM,SL56 T12H6 P576,SOUR CREAM SL56 T12H6 P576,4.99
2022-10-02,21133400702482210021627,21046,TOMATO MEDLE,,,6.99
2022-10-02,21133400702482210021627,9929,KS CHIC TORT,2/830ML CNSL50  SL60 10X4,KS CHIC TORT 2/830ML CNSL50  SL60 10X4,10.49
2022-10-02,21133400702482210021627,1126125,PULL-UPSPLUS,BOY/GIRL P40,PULL-UPSPLUS BOY/GIRL P40,41.99
2022-10-02,21133400702482210021627,1461056,BABY CUKE,,,5.99
2022-10-02,21133400702482210021627,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,11.99
2022-10-02,21133400702482210021627,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,8.39
2024-05-24,21133400402972405241458,21046,TOMATO MEDLE,,,6.59
2024-05-24,21133400402972405241458,568915,ORG CUCUMBER,,,6.99
2024-05-24,21133400402972405241458,1195254,KS CALI EVOO,P540,KS CALI EVOO P540,11.99
2024-05-24,21133400402972405241458,1190606,VICKY JALAPE,KETTL CHIP P138 T46H3,VICKY JALAPE KETTL CHIP P138 T46H3,4.97
2024-05-24,21133400402972405241458,1555212,PIRATE CHED,18 OZ  T40H3 P120 SL 110,PIRATE CHED 18 OZ  T40H3 P120 SL 110,6.99
2024-05-24,21133400402972405241458,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.19
2024-05-24,21133400402972405241458,45221,CHEEZ-IT 48Z,#12203 SL120   T48H4 P192,CHEEZ-IT 48Z #12203 SL120   T48H4 P192,9.99
2024-05-24,21133400402972405241458,327590,/45221,,,0
2024-05-24,21133400402972405241458,1331709,AVOCADO OIL,CHOSEN FOODS SL420  P320,AVOCADO OIL CHOSEN FOODS SL420  P320,21.99
2024-05-24,21133400402972405241458,1361170,THAT'S IT,24X20G   4T4H   C21  P336,THAT'S IT 24X20G   4T4H   C21  P336,13.99
2024-05-24,21133400402972405241458,25949,FRESH GARLIC,907 G / 2 LB,FRESH GARLIC 907 G / 2 LB,6.59
2024-05-24,21133400402972405241458,595006,TZATZIKI DIP,12/32 OZ   7T6H   SL50,TZATZIKI DIP 12/32 OZ   7T6H   SL50,7.89
2024-05-24,21133400402972405241458,329603,/595006,,,0
2024-05-24,21133400402972405241458,512599,**KS TOWEL**,P24 FQ/P20 W/US P54,**KS TOWEL** P24 FQ/P20 W/US P54,19.99
2024-05-24,21133400402972405241458,669511,CHX GRILLERS,PORK FREE  T6H6 SL16,CHX GRILLERS PORK FREE  T6H6 SL16,10.99
2024-05-24,21133400402972405241458,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.99
2024-05-24,21133400402972405241458,2585,HYDRO STRAW,2LB / 907 G,HYDRO STRAW 2LB / 907 G,6.99
2024-05-24,21133400402972405241458,17368,STEELHEAD,FARM RAISED,STEELHEAD FARM RAISED,10.99
2024-05-24,21133400402972405241458,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2024-05-24,21133400402972405241458,30548,ORGANIC DRUM,SADDLEPACK,ORGANIC DRUM SADDLEPACK,1.99
2024-05-24,21133400402972405241458,647465,AVOCADOS,6 COUNT,AVOCADOS 6 COUNT,7.99
2024-05-24,21133400402972405241458,1773119,**CHARMIN**,30/213 SHEET 835SQFT P30,**CHARMIN** 30/213 SHEET 835SQFT P30,29.99
2024-05-24,21133400402972405241458,328868,/1773119,,,0
2024-05-24,21133400402972405241458,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.45
2024-05-24,21133400402972405241458,1769227,FELON JERKY,12OZ P450 SL270,FELON JERKY 12OZ P450 SL270,13.99
2024-05-24,21133400402972405241458,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,22.99
2024-05-24,21133400402972405241458,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.99
2025-03-09,21133400902242503091312,842994,ORG MANGOS,,,7.99
2025-03-09,21133400902242503091312,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2025-03-09,21133400902242503091312,1363689,TURKEY BACON,COLUMBUS SL30 T6H5 P300,TURKEY BACON COLUMBUS SL30 T6H5 P300,14.99
2025-03-09,21133400902242503091312,1830455,KS BAGUETTE,,,4.99
2025-03-09,21133400902242503091312,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.99
2025-03-09,21133400902242503091312,7445,10LB BAKERS,4.5KG / 10 LB,10LB BAKERS 4.5KG / 10 LB,6.59
2025-03-09,21133400902242503091312,6659,4LB HONYCRSP,,,9.99
2025-03-09,21133400902242503091312,5276,RED GRAPES,1.36 KG / 3 LB,RED GRAPES 1.36 KG / 3 LB,7.99
2025-03-09,21133400902242503091312,7367,LOLLIPEPPERS,680 G / 1.5 LB,LOLLIPEPPERS 680 G / 1.5 LB,5.99
2025-03-09,21133400902242503091312,800182,BREAD ITALIA,SCHMIDT         SL9,BREAD ITALIA SCHMIDT         SL9,4.49
2025-03-09,21133400902242503091312,2585,HYDRO STRAW,2LB / 907 G,HYDRO STRAW 2LB / 907 G,8.49
2025-03-09,21133400902242503091312,36886,ORGANIC GT,,,19.99
2025-03-09,21133400902242503091312,121288,ORG BELLAS,,,5.89
2025-03-09,21133400902242503091312,1883227,LEGO SPEED,P304 FY25,LEGO SPEED P304 FY25,21.99
2025-03-09,21133400902242503091312,21046,TOMATO MEDLE,,,6.59
2025-03-09,21133400902242503091312,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2025-03-09,21133400902242503091312,96716,ORG SPINACH,453 G / 16 OZ,ORG SPINACH 453 G / 16 OZ,4.49
2023-06-25,21133420501242306251417,5850,SWEETKALEDUO,2 X 14 OZ,SWEETKALEDUO 2 X 14 OZ,6.99
2023-06-25,21133420501242306251417,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,6.29
2023-06-25,21133420501242306251417,1266604,647 ITALIAN,LOW CARB BREAD,647 ITALIAN LOW CARB BREAD,6.69
2023-06-25,21133420501242306251417,1434832,CANDY GRAPE,ORG RED CANDY SNAP GRAPE,CANDY GRAPE ORG RED CANDY SNAP GRAPE,9.99
2023-06-25,21133420501242306251417,1328034,32DS BOXER,FY22 P528 HP264,32DS BOXER FY22 P528 HP264,12.99
2023-06-25,21133420501242306251417,40551,DUNG. CRAB,CRAB SECTIONS,DUNG. CRAB CRAB SECTIONS,9.99
2023-06-25,21133420501242306251417,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,3.99
2023-06-25,21133420501242306251417,425354,KOSHER MNSTR,ANDERSON T14H7  SL90,KOSHER MNSTR ANDERSON T14H7  SL90,10.99
2023-06-25,21133420501242306251417,36886,ORGANIC GT,,,19.99
2023-06-25,21133420501242306251417,1716914,GRLLD CHCKN,CS10 T6H8 SL55,GRLLD CHCKN CS10 T6H8 SL55,9.69
2023-06-25,21133420501242306251417,1529345,ALM TORTILLA,20CT T6H5 P540 SL60,ALM TORTILLA 20CT T6H5 P540 SL60,11.89
2023-06-25,21133420501242306251417,106173,CHKN SAUSAGE,12/3 LBS    9T5H    SL90,CHKN SAUSAGE 12/3 LBS    9T5H    SL90,14.99
2023-06-25,21133420501242306251417,305118,/ 106173,,,0
2023-06-25,21133420501242306251417,2585,HYDRO STRAW,2LB / 907 G,HYDRO STRAW 2LB / 907 G,5.99
2024-10-15,21133400600482410151124,1068080,PASTURE EGGS,2DZ GRADE A P360/300 SL22,PASTURE EGGS 2DZ GRADE A P360/300 SL22,8.49
2024-10-15,21133400600482410151124,21046,TOMATO MEDLE,,,6.59
2024-10-15,21133400600482410151124,595006,TZATZIKI DIP,12/32 OZ   7T6H   SL50,TZATZIKI DIP 12/32 OZ   7T6H   SL50,7.89
2024-10-15,21133400600482410151124,1199652,BUTER CROISS,,,5.99
2024-10-15,21133400600482410151124,339830,/1199652,,,0
2024-10-15,21133400600482410151124,993449,ORGANIC PSTA,ORGANIC PASTA SL365  P144,ORGANIC PSTA ORGANIC PASTA SL365  P144,9.59
2024-10-15,21133400600482410151124,8258,ASIAN CASHEW,2PK,ASIAN CASHEW 2PK,6.99
2024-10-15,21133400600482410151124,1258564,BEEFSTICKS,P360 T6H4 28/.5OX SL300,BEEFSTICKS P360 T6H4 28/.5OX SL300,16.79
2024-10-15,21133400600482410151124,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.79
2024-10-15,21133400600482410151124,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-10-15,21133400600482410151124,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2024-10-15,21133400600482410151124,8370,ORG MEDITERR,2PK,ORG MEDITERR 2PK,8.99
2024-10-15,21133400600482410151124,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,5.79
2024-10-15,21133400600482410151124,947880,HF NAT TRKEY,T6H4P216  SL30,HF NAT TRKEY T6H4P216  SL30,11.99
2024-10-15,21133400600482410151124,337386,/947880,,,0
2025-02-11,21133400902382502111700,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,7.99
2025-02-11,21133400902382502111700,385892,SPICY PICKLE,64 OZ  SL365         P360,SPICY PICKLE 64 OZ  SL365         P360,7.79
2025-02-11,21133400902382502111700,106173,CHKN SAUSAGE,12/3 LBS    9T5H    SL90,CHKN SAUSAGE 12/3 LBS    9T5H    SL90,14.99
2025-02-11,21133400902382502111700,57554,BLUEBERRIES,510 G / 18 OZ,BLUEBERRIES 510 G / 18 OZ,4.99
2025-02-11,21133400902382502111700,1363689,TURKEY BACON,COLUMBUS SL30 T6H5 P300,TURKEY BACON COLUMBUS SL30 T6H5 P300,14.99
2025-02-11,21133400902382502111700,938492,KS KETTLE,PINK SALT P120 T40H3,KS KETTLE PINK SALT P120 T40H3,5.99
2025-02-11,21133400902382502111700,6659,4LB HONYCRSP,,,9.99
2025-02-11,21133400902382502111700,421793,KS STRAWPRES,STRAWBERRY  SL270    P576,KS STRAWPRES STRAWBERRY  SL270    P576,7.99
2025-02-11,21133400902382502111700,1462714,KS ORG A2 PR,3/64OZ SL30 33X4 P132,KS ORG A2 PR 3/64OZ SL30 33X4 P132,13.59
2025-02-11,21133400902382502111700,1830455,KS BAGUETTE,,,4.99
2025-02-11,21133400902382502111700,1267000,KS SALMON,SL30 CHILEAN SLMN 10X5,KS SALMON SL30 CHILEAN SLMN 10X5,23.99
2025-02-11,21133400902382502111700,7552,WILD ALBACOR,SL360           P528,WILD ALBACOR SL360           P528,15.99
2025-03-01,21133401102052503011210,1773119,**CHARMIN**,30/213 SHEET 835SQFT P30,**CHARMIN** 30/213 SHEET 835SQFT P30,30.89
2025-03-01,21133401102052503011210,349051,/ 1773119,,,0
2025-03-01,21133401102052503011210,1710454,KEW MAYO,T10H5  SL 270  P800,KEW MAYO T10H5  SL 270  P800,6.49
2025-03-01,21133401102052503011210,1172471,IRISH BUTTER,C15 T9H5 P675  SL90,IRISH BUTTER C15 T9H5 P675  SL90,15.49
2025-03-01,21133401102052503011210,7367,LOLLIPEPPERS,680 G / 1.5 LB,LOLLIPEPPERS 680 G / 1.5 LB,5.99
2025-03-01,21133401102052503011210,1263833,D&W ORG TURK,C=14 4T11H SL=35,D&W ORG TURK C=14 4T11H SL=35,18.99
2025-03-01,21133401102052503011210,2585,HYDRO STRAW,2LB / 907 G,HYDRO STRAW 2LB / 907 G,9.99
2025-03-01,21133401102052503011210,1485523,KS ORG FLOUR,2/10 LB P112,KS ORG FLOUR 2/10 LB P112,17.49
2025-03-01,21133401102052503011210,1489812,PUMA SOCK,FY24           P288 HP144,PUMA SOCK FY24           P288 HP144,14.79
2025-03-01,21133401102052503011210,21046,TOMATO MEDLE,,,6.59
2025-03-01,21133401102052503011210,6659,4LB HONYCRSP,,,9.99
2025-03-01,21133401102052503011210,1462040,KS ARG SHRMP,CA 608G US 908G 6X6 P576,KS ARG SHRMP CA 608G US 908G 6X6 P576,21.49
2025-03-01,21133401102052503011210,1150189,ORG SKINYPOP,T34H3 P102 SL110,ORG SKINYPOP T34H3 P102 SL110,6.99
2025-03-01,21133401102052503011210,993449,ORGANIC PSTA,ORGANIC PASTA SL365  P144,ORGANIC PSTA ORGANIC PASTA SL365  P144,9.59
2025-03-01,21133401102052503011210,1462714,KS ORG A2 PR,3/64OZ SL30 33X4 P132,KS ORG A2 PR 3/64OZ SL30 33X4 P132,13.59
2025-03-01,21133401102052503011210,1266378,CC TUSCAN,INFUSED KETTLE CHIPS 25OZ,CC TUSCAN INFUSED KETTLE CHIPS 25OZ,7.99
2025-03-01,21133401102052503011210,1830455,KS BAGUETTE,,,4.99
2025-03-01,21133401102052503011210,47292,SOCK SALMON,FILLET PREVIOUSLY FROZEN,SOCK SALMON FILLET PREVIOUSLY FROZEN,12.99
2025-03-01,21133401102052503011210,7552,WILD ALBACOR,SL360           P528,WILD ALBACOR SL360           P528,15.99
2025-03-01,21133401102052503011210,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.99
2025-03-01,21133401102052503011210,22967,ORGNC BS THG,FRESH SADDLEPACK,ORGNC BS THG FRESH SADDLEPACK,5.99
2025-03-01,21133401102052503011210,1778835,HK TBRUSHY,P360,HK TBRUSHY P360,9.99
2025-03-01,21133401102052503011210,1540707,ORANGE GUAVA,NECTAR 128OZ SL243,ORANGE GUAVA NECTAR 128OZ SL243,5.99
2025-03-01,21133401102052503011210,720650,MINI CUKES,680 G / 1.5 LB,MINI CUKES 680 G / 1.5 LB,6.99
2022-07-11,21133420400172207111031,303285,FOUR CHEESE,16/2LBS SL90    T10H5,FOUR CHEESE 16/2LBS SL90    T10H5,9.99
2022-07-11,21133420400172207111031,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,4.29
2022-07-11,21133420400172207111031,5276,RED GRAPES,1.36 KG / 3 LB,RED GRAPES 1.36 KG / 3 LB,5.99
2022-07-11,21133420400172207111031,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.19
2022-07-11,21133420400172207111031,1126124,HUGG PU 2T3T,BOY/GIRL P40,HUGG PU 2T3T BOY/GIRL P40,41.99
2022-07-11,21133420400172207111031,278525,/1126124,,,0
2022-07-11,21133420400172207111031,1215971,HIPPEAS CHED,VGN PFFS T46H3 P138 SL180,HIPPEAS CHED VGN PFFS T46H3 P138 SL180,7.39
2022-07-11,21133420400172207111031,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,7.49
2022-07-11,21133420400172207111031,568915,ORG CUCUMBER,,,5.99
2022-07-11,21133420400172207111031,21046,TOMATO MEDLE,,,6.69
2022-07-11,21133420400172207111031,5623,BROCCOLI,1.36 KG / 3 LB,BROCCOLI 1.36 KG / 3 LB,5.99
2022-07-11,21133420400172207111031,47266,ORG BS THIGH,FRESH SADDLEPACK,ORG BS THIGH FRESH SADDLEPACK,5.99
2022-07-11,21133420400172207111031,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.29
2022-07-11,21133420400172207111031,1266604,647 ITALIAN,LOW CARB BREAD,647 ITALIAN LOW CARB BREAD,6.69
2023-02-20,21133400700992302201213,106173,CHKN SAUSAGE,12/3 LBS    9T5H    SL90,CHKN SAUSAGE 12/3 LBS    9T5H    SL90,14.99
2023-02-20,21133400700992302201213,1043301,NOOSA YOGHUR,T28H7P196      DOM45/SL28,NOOSA YOGHUR T28H7P196      DOM45/SL28,9.69
2023-02-20,21133400700992302201213,295366,/1043301,,,0
2023-02-20,21133400700992302201213,1538556,PINEBERRY,283 G / 10 OZ,PINEBERRY 283 G / 10 OZ,5.99
2023-02-20,21133400700992302201213,47292,SOCK SALMON,FILLET PREVIOUSLY FROZEN,SOCK SALMON FILLET PREVIOUSLY FROZEN,13.99
2023-02-20,21133400700992302201213,6995,GOLD KIWI,3 LBS,GOLD KIWI 3 LBS,10.49
2023-02-20,21133400700992302201213,46481,GP WINGS,PARTY WINGS,GP WINGS PARTY WINGS,6.99
2023-02-20,21133400700992302201213,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,12.69
2023-02-20,21133400700992302201213,9929,KS CHIC TORT,2/830ML CNSL50  SL60 10X4,KS CHIC TORT 2/830ML CNSL50  SL60 10X4,10.49
2023-02-20,21133400700992302201213,427381,KS ORG EGGS,GRADE AA  P360/300  SL26,KS ORG EGGS GRADE AA  P360/300  SL26,7.89
2023-02-20,21133400700992302201213,303285,FOUR CHEESE,16/2LBS SL90    T10H5,FOUR CHEESE 16/2LBS SL90    T10H5,10.49
2023-02-20,21133400700992302201213,45694,BAGUETTE,2 PACK,BAGUETTE 2 PACK,5.99
2023-02-20,21133400700992302201213,702669,BLACKBERRIES,340 G / 12 OZ,BLACKBERRIES 340 G / 12 OZ,3.89
2023-02-20,21133400700992302201213,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.39
2024-08-03,21133400803192408031633,1830455,KS BAGUETTE,,,5.99
2024-08-03,21133400803192408031633,568915,ORG CUCUMBER,,,5.99
2024-08-03,21133400803192408031633,669511,CHX GRILLERS,PORK FREE  T6H6 SL16,CHX GRILLERS PORK FREE  T6H6 SL16,10.99
2024-08-03,21133400803192408031633,21046,TOMATO MEDLE,,,6.59
2024-08-03,21133400803192408031633,1185912,KS ALMND BAR,US 1.74QTS CN 22X9 P198,KS ALMND BAR US 1.74QTS CN 22X9 P198,9.99
2024-08-03,21133400803192408031633,637598,KS CAGE FREE,SL21 T20H18 P360/P300,KS CAGE FREE SL21 T20H18 P360/P300,4.89
2024-08-03,21133400803192408031633,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,4.79
2024-08-03,21133400803192408031633,60357,MIXED PEPPER,6-PACK,MIXED PEPPER 6-PACK,6.59
2024-08-03,21133400803192408031633,1773119,**CHARMIN**,30/213 SHEET 835SQFT P30,**CHARMIN** 30/213 SHEET 835SQFT P30,29.49
2024-08-03,21133400803192408031633,332117,/1773119,,,0
2024-08-03,21133400803192408031633,1555212,PIRATE CHED,18 OZ  T40H3 P120 SL 110,PIRATE CHED 18 OZ  T40H3 P120 SL 110,6.99
2024-08-03,21133400803192408031633,30548,ORGANIC DRUM,SADDLEPACK,ORGANIC DRUM SADDLEPACK,1.99
2024-08-03,21133400803192408031633,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,10.47
2024-08-03,21133400803192408031633,46481,GP WINGS,SEASONED PARTY WINGS,GP WINGS SEASONED PARTY WINGS,6.49
2024-08-03,21133400803192408031633,1298989,CANDY SNAP,3LB SEEDLESS,CANDY SNAP 3LB SEEDLESS,7.99
2022-10-28,21133400901422210281329,757263,CHEX MIX,T50H3  P150 SL149,CHEX MIX T50H3  P150 SL149,7.39
2022-10-28,21133400901422210281329,1461056,BABY CUKE,,,5.99
2022-10-28,21133400901422210281329,1126125,PULL-UPSPLUS,BOY/GIRL P40,PULL-UPSPLUS BOY/GIRL P40,41.99
2022-10-28,21133400901422210281329,19808,SMOKD SALMON,30/16 OZ SL=28 T7X7,SMOKD SALMON 30/16 OZ SL=28 T7X7,16.79
2022-10-28,21133400901422210281329,87745,ROTISSERIE,USDA GRADE A,ROTISSERIE USDA GRADE A,4.99
2022-10-28,21133400901422210281329,1142830,ORG MEDITERR,,,7.99
2022-10-28,21133400901422210281329,17387,"MSN FLOUR 8""",BBS SL 45 DAYS,"MSN FLOUR 8"" BBS SL 45 DAYS",4.99
2022-10-28,21133400901422210281329,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,7.39
2022-10-28,21133400901422210281329,1266604,647 ITALIAN,LOW CARB BREAD,647 ITALIAN LOW CARB BREAD,6.69
2022-10-28,21133400901422210281329,527705,A&H BFSALAMI,KOSHER 2-PK   T6H8   SL70,A&H BFSALAMI KOSHER 2-PK   T6H8   SL70,12.59
2022-10-28,21133400901422210281329,703381,CHEDDAR SLCS,T10H5  SL120,CHEDDAR SLCS T10H5  SL120,8.39
2022-10-28,21133400901422210281329,1671445,SY GRLC CHKN,CJ 56OZ T9H3  P162,SY GRLC CHKN CJ 56OZ T9H3  P162,14.99
2022-10-28,21133400901422210281329,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,4.29
2022-10-28,21133400901422210281329,1306598,FREE RNG XL,GRADE A T20H18 P360 SL23,FREE RNG XL GRADE A T20H18 P360 SL23,7.49
2022-10-28,21133400901422210281329,47537,ROTISSERIE,USDA GRADE A,ROTISSERIE USDA GRADE A,1.66
2022-10-28,21133400901422210281329,519638,ORG BLUES,510 G / 18 OZ,ORG BLUES 510 G / 18 OZ,4.99
2022-10-28,21133400901422210281329,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.29
2022-10-28,21133400901422210281329,21046,TOMATO MEDLE,,,6.69
2023-01-06,21133400700452301061128,897342,LACROIX VTY,LEMON GRAPEFRUIT P100,LACROIX VTY LEMON GRAPEFRUIT P100,8.99
2023-01-06,21133400700452301061128,17387,"MSN FLOUR 8""",BBS SL 45 DAYS,"MSN FLOUR 8"" BBS SL 45 DAYS",4.99
2023-01-06,21133400700452301061128,7859,SMOKD SALMON,FOPPEN SL28 T8H5,SMOKD SALMON FOPPEN SL28 T8H5,10.99
2023-01-06,21133400700452301061128,782796,***KSWTR40PK,P48=SE   P56=PR,***KSWTR40PK P48=SE   P56=PR,4.29
2023-01-06,21133400700452301061128,702669,BLACKBERRIES,340 G / 12 OZ,BLACKBERRIES 340 G / 12 OZ,3.29
2023-01-06,21133400700452301061128,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,12.69
2023-01-06,21133400700452301061128,1632656,POPCORNERS,P48 T12H4 SL75,POPCORNERS P48 T12H4 SL75,12.99
2023-01-06,21133400700452301061128,1298989,CANDY SNAP,3LB SEEDLESS,CANDY SNAP 3LB SEEDLESS,7.99
2023-01-06,21133400700452301061128,841948,UTZHNYWHTPRZ,BRAIDED PRETZEL P115 SL98,UTZHNYWHTPRZ BRAIDED PRETZEL P115 SL98,9.49
2023-01-06,21133400700452301061128,106173,CHKN SAUSAGE,12/3 LBS    9T5H    SL90,CHKN SAUSAGE 12/3 LBS    9T5H    SL90,14.99
2023-01-06,21133400700452301061128,1636598,**CHARMIN**,30/205 SHEET,**CHARMIN** 30/205 SHEET,26.49
2023-01-06,21133400700452301061128,294196,/1636598,,,0
2023-01-06,21133400700452301061128,1461056,BABY CUKE,,,6.99
2023-01-06,21133400700452301061128,2619,ORG BANANAS,3 LB / 1.36 KG,ORG BANANAS 3 LB / 1.36 KG,2.39
2023-01-06,21133400700452301061128,1290439,KS NUTBUTTER,765G T10H6 P720,KS NUTBUTTER 765G T10H6 P720,6.99
2024-06-24,21133400701282406241225,30669,BANANAS,3 LB / 1.36 KG,BANANAS 3 LB / 1.36 KG,1.49
2024-06-24,21133400701282406241225,27003,STRAWBERRIES,908 G / 2 LB,STRAWBERRIES 908 G / 2 LB,3.99
2024-06-24,21133400701282406241225,568915,ORG CUCUMBER,,,6.99
2024-06-24,21133400701282406241225,5850,SWEETKALEDUO,2 X 14 OZ,SWEETKALEDUO 2 X 14 OZ,6.99
2024-06-24,21133400701282406241225,1364689,KS ORG WH MK,3/64 SL30 T33H4 P132,KS ORG WH MK 3/64 SL30 T33H4 P132,9.74
